iter	Passed	Remaining
0	7	769
1	16	801
2	24	797
3	33	812
4	36	684
5	43	688
6	51	685
7	59	680
8	67	686
9	76	687
10	84	684
11	92	678
12	100	674
13	105	647
14	114	647
15	123	648
16	132	647
17	142	648
18	151	647
19	160	642
20	166	626
21	175	622
22	184	616
23	192	611
24	201	604
25	210	598
26	218	591
27	227	584
28	235	577
29	244	569
30	252	562
31	261	555
32	271	550
33	280	545
34	289	537
35	291	518
36	300	511
37	309	505
38	318	497
39	326	489
40	334	480
41	342	473
42	350	464
43	359	456
44	366	448
45	374	440
46	382	431
47	391	423
48	395	411
49	404	404
50	414	398
51	423	391
52	431	382
53	439	374
54	448	366
55	456	358
56	465	350
57	469	340
58	477	331
59	486	324
60	494	316
61	502	307
62	510	300
63	518	291
64	526	283
65	535	275
66	541	266
67	550	258
68	558	250
69	566	242
70	574	234
71	582	226
72	590	218
73	598	210
74	606	202
75	617	194
76	626	187
77	635	179
78	643	171
79	651	162
80	660	154
81	669	146
82	677	138
83	685	130
84	697	123
85	715	116
86	725	108
87	737	100
88	747	92
89	757	84
90	765	75
91	774	67
92	782	58
93	790	50
94	798	42
95	807	33
96	815	25
97	826	16
98	835	8
99	843	0
